0,1,2,3,4,5,6,7,8,9,10,quality
0.195152519,0.018460373,0,0.050106728,0.002004269,0.290091582,0.896646709,0.026313944,0.092565587,0.014768299,0.247896443,Average
0.107241243,0.012099012,0,0.035747081,0.00134739,0.343721934,0.921174782,0.013704881,0.043996408,0.009349237,0.134738998,Average
0.135456648,0.01319834,0.000694649,0.039942345,0.001597694,0.260493553,0.937776791,0.017314138,0.056613932,0.011288054,0.170189121,Average
0.174366737,0.004359168,0.008718337,0.029580071,0.001167634,0.264663797,0.93410752,0.015537322,0.049196329,0.009029706,0.152570895,Good
0.195152519,0.018460373,0,0.050106728,0.002004269,0.290091582,0.896646709,0.026313944,0.092565587,0.014768299,0.247896443,Average
0.168467894,0.015025515,0,0.040978677,0.001707445,0.295957111,0.910637264,0.022715847,0.07990842,0.012748922,0.213999757,Average
0.126961206,0.009642623,0.000964262,0.025713662,0.001108902,0.241065581,0.948191285,0.016013183,0.053034428,0.007392678,0.151067764,Average
0.252799704,0.022509563,0,0.041556116,0.002250956,0.519451447,0.727232026,0.034443094,0.117396027,0.016276145,0.346300965,Good
0.325838234,0.024228997,0.000835483,0.083548265,0.003049512,0.375967193,0.751934386,0.041640455,0.140361085,0.023811256,0.396854259,Good
0.071804197,0.004786946,0.003446601,0.058400747,0.000679746,0.162756179,0.976537077,0.00955283,0.032072541,0.007659114,0.100525876,Average
0.098838078,0.008556132,0.001180156,0.026553514,0.001430939,0.22127928,0.958876881,0.014691469,0.048386403,0.007966054,0.135717958,Average
0.071804197,0.004786946,0.003446601,0.058400747,0.000679746,0.162756179,0.976537077,0.00955283,0.032072541,0.007659114,0.100525876,Average
0.089863315,0.009868918,0,0.025675233,0.001428185,0.256752328,0.94677421,0.015955552,0.057448333,0.008344451,0.158865503,Average
0.23704646,0.018538249,0.008813266,0.048624915,0.003464525,0.273515146,0.881326582,0.030311556,0.099073264,0.047409292,0.276554203,Average
0.057545849,0.004008812,0.001163849,0.024570138,0.001137985,0.336222939,0.937544735,0.006456774,0.020432009,0.005689927,0.059485597,Average
0.056633448,0.003945251,0.001209029,0.024816904,0.001081762,0.324528746,0.941769694,0.0063544,0.020171689,0.005917877,0.05854244,Average
0.077488887,0.002552575,0.00510515,0.016409411,0.000838703,0.319071889,0.938982987,0.009088079,0.030083921,0.006837255,0.095721567,Good
0.135759711,0.009385857,0.004692928,0.028492779,0.006167849,0.268167331,0.938585659,0.016706825,0.052125025,0.021453386,0.155872261,Average
0.228898095,0.018249983,0.002474574,0.13610157,0.002660167,0.18559305,0.897033075,0.030851751,0.104550751,0.015466087,0.278389575,Average
0.131901907,0.005342862,0.008515186,0.030053599,0.005693487,0.283839548,0.935000863,0.016644685,0.05075719,0.01803216,0.153607285,Good
0.130870165,0.003234993,0.007058166,0.026468123,0.001132247,0.426430873,0.882270772,0.014657458,0.049848299,0.007793392,0.138222421,Good
0.100302578,0.005147106,0.004091289,0.030354727,0.001082212,0.303547275,0.937037239,0.013173952,0.046455931,0.00857851,0.128017764,Average
0.195295207,0.010629992,0.005191392,0.03955346,0.002620417,0.247209123,0.914673756,0.024636861,0.078365292,0.02249603,0.234848667,Average
0.123363656,0.007111552,0.001596471,0.033380754,0.001219123,0.130620342,0.972395877,0.014466929,0.046007387,0.007692087,0.13642569,Average
0.147048276,0.008524538,0.002983588,0.051147226,0.001811464,0.447538231,0.852453773,0.021243148,0.073097911,0.013426147,0.20672004,Good
0.224032758,0.013868695,0.005689721,0.049785057,0.00284486,0.391168307,0.817897369,0.035400732,0.118772922,0.019914023,0.330715023,Average
0.438361919,0.023648472,0.013843008,0.10382256,0.004614336,0.230716799,0.634471198,0.057460019,0.189187776,0.034030728,0.547952399,Average
0.195295207,0.010629992,0.005191392,0.03955346,0.002620417,0.247209123,0.914673756,0.024636861,0.078365292,0.02249603,0.234848667,Average
0.178776762,0.017877676,0,0.047841669,0.002014386,0.352517559,0.881293897,0.025109322,0.087373995,0.013848904,0.236690361,Average
0.350914418,0.029017923,0,0.089978056,0.0036891,0.359912224,0.719824447,0.044827067,0.152062914,0.026543526,0.440892474,Good
0.079077675,0.007966781,0.000826185,0.028326331,0.001050435,0.200644847,0.967816321,0.011753067,0.039538838,0.006373425,0.119206644,Average
0.153031725,0.01519228,0,0.055446277,0.002328744,0.487927239,0.820604902,0.022103104,0.076737648,0.012641751,0.235092215,Good
0.072307585,0.005706201,0.001045411,0.020037042,0.000723076,0.130676359,0.984428574,0.008682137,0.027616271,0.00574976,0.085375221,Average
0.073751388,0.006466607,0.001282633,0.114368095,0.000780268,0.427544279,0.887154378,0.010681125,0.036875694,0.005558076,0.100472905,Good
0.098326723,0.006050875,0.004727246,0.034036173,0.001947625,0.245816807,0.945449258,0.018827677,0.06391237,0.010399942,0.173962663,Average
0.333951994,0.027615261,0,0.23547897,0.003682035,0.214071791,0.770658447,0.042754418,0.145568818,0.023547897,0.411017838,Good
0.37585303,0.028911772,0.00674608,0.115647086,0.004144021,0.144558858,0.722794289,0.04806582,0.164797098,0.028911772,0.520411888,Good
0.229534845,0.010768301,0.007934538,0.059509034,0.001870284,0.368389257,0.850129055,0.028246955,0.091530562,0.020686474,0.274875061,Good
0.241828895,0.047941518,0.003818351,0.063639183,0.007297293,0.296982853,0.806096315,0.042171565,0.148491426,0.020364538,0.415775994,Average
0.082004558,0.005055076,0.00404406,0.066277657,0.000831279,0.134802014,0.977314601,0.011208787,0.037407559,0.009323806,0.117951762,Average
0.082004558,0.005055076,0.00404406,0.066277657,0.000831279,0.134802014,0.977314601,0.011208787,0.037407559,0.009323806,0.117951762,Average
0.172944339,0.011988187,0.00589583,0.055027744,0.001729443,0.334097019,0.904027229,0.019605599,0.064068017,0.010022911,0.182770722,Average
0.355231667,0.023208469,0.009472844,0.123146978,0.015724922,0.378913778,0.663099111,0.047212657,0.152039153,0.0426278,0.497324334,Good
0.286315198,0.023329386,0.007776462,0.077764622,0.002438981,0.318127997,0.812993771,0.035234443,0.116646932,0.042417066,0.364079819,Average
0.392889675,0.038711189,0.001155558,0.104000208,0.002888895,0.288889467,0.635556827,0.057558337,0.201067069,0.030044505,0.548889987,Average
0.06855001,0.007749132,0.002235326,0.03129457,0.000804718,0.119217408,0.968641442,0.014803822,0.058118487,0.008345219,0.195218506,Average
0.065925403,0.008005227,0.003681548,0.018835829,0.000976038,0.188358294,0.976038432,0.008536055,0.027825657,0.006250071,0.078768014,Average
0.211394323,0.007046477,0.012635063,0.038877117,0.002745696,0.291578376,0.899033326,0.024222874,0.078969143,0.014092955,0.230832881,Average
0.363590546,0.022724409,0.013066535,0.090897636,0.003749528,0.284055114,0.681732273,0.056572416,0.189748816,0.031814173,0.52266141,Average
0.057483391,0.003182116,0.00379801,0.014370848,0.000759602,0.123178695,0.98542956,0.010217673,0.034079439,0.005953637,0.094437,Average
0.32751502,0.024563627,0.00967658,0.063269947,0.002754104,0.148870464,0.856005166,0.037109685,0.11723549,0.027541036,0.342402067,Average
0.315006238,0.024818673,0.001909129,0.105002079,0.003293247,0.381825743,0.715923269,0.047518214,0.162275941,0.030068777,0.448645248,Good
0.337915917,0.025599691,0.002047975,0.107518701,0.003481558,0.307196289,0.71679134,0.050968984,0.173565903,0.032767604,0.481274185,Good
0.06965413,0.003077741,0.002915754,0.024297952,0.000656045,0.242979522,0.963818772,0.008075019,0.025917816,0.004535618,0.076133584,Average
0.093553988,0.006277965,0.00184646,0.034467259,0.001354071,0.406221262,0.89861067,0.012254341,0.039021861,0.007755133,0.125559299,Good
0.14482475,0.011661214,0.000752336,0.071471955,0.001579906,0.470210227,0.846378409,0.018767031,0.062820086,0.009968457,0.178679886,Average
0.557369636,0.022950514,0.031147127,0.185789879,0.003825086,0.218576328,0.54644082,0.054485614,0.166118009,0.034425772,0.524583187,Average
0.061684514,0.005181499,0.000986952,0.041945469,0.000912931,0.411230091,0.904706201,0.00821062,0.026812202,0.006332943,0.077311257,Average
0.134072396,0.010141374,0.003093978,0.039534168,0.001306346,0.292209068,0.928193509,0.017145797,0.058957477,0.010141374,0.171887687,Average
0.15034536,0.008032149,0.006384529,0.049428611,0.001524049,0.185357293,0.947381719,0.020516993,0.070229819,0.011121438,0.193595395,Good
0.154469535,0.007021343,0.007021343,0.038617384,0.001386715,0.333513769,0.912774525,0.01751825,0.060383546,0.011234148,0.161490878,Average
0.067260963,0.006027281,0.004280243,0.015723342,0.001004547,0.174703799,0.978341275,0.008707237,0.02803996,0.006201985,0.081237267,Average
0.191602565,0.013284445,0.004087521,0.048539316,0.002171496,0.306564104,0.894145303,0.025465258,0.086348889,0.015839145,0.242696582,Good
